cohort,arm,field,value,n_risk,n_uncaught,uncaught_share,share_of_all_uncaught
development_main,families@0.002,suite,libero_goal,102,45,0.4411764705882353,0.1956521739130435
development_main,families@0.002,suite,libero_long,222,85,0.38288288288288286,0.3695652173913043
development_main,families@0.002,suite,libero_object,37,20,0.5405405405405406,0.08695652173913043
development_main,families@0.002,suite,libero_spatial,126,80,0.6349206349206349,0.34782608695652173
development_main,families@0.002,physical_mode,approached_target_without_observed_contact,14,5,0.35714285714285715,0.021739130434782608
development_main,families@0.002,physical_mode,goal_predicate_regressed,28,9,0.32142857142857145,0.0391304347826087
development_main,families@0.002,physical_mode,mechanism_threshold_not_reached,6,1,0.16666666666666666,0.004347826086956522
development_main,families@0.002,physical_mode,no_meaningful_target_progress,1,0,0.0,0.0
development_main,families@0.002,physical_mode,object_moved_but_goal_unmet,72,39,0.5416666666666666,0.16956521739130434
development_main,families@0.002,physical_mode,object_released_or_dropped_before_goal,218,107,0.4908256880733945,0.4652173913043478
development_main,families@0.002,physical_mode,object_released_outside_goal,18,3,0.16666666666666666,0.013043478260869565
development_main,families@0.002,physical_mode,stable_grasp_not_observed,116,59,0.5086206896551724,0.2565217391304348
development_main,families@0.002,physical_mode,timeout_while_holding_target,14,7,0.5,0.030434782608695653
development_main,families@0.002,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,52,45,0.8653846153846154,0.1956521739130435
development_main,families@0.002,task,libero_goal/push_the_plate_to_the_front_of_the_stove,2,0,0.0,0.0
development_main,families@0.002,task,libero_goal/put_the_bowl_on_the_plate,12,0,0.0,0.0
development_main,families@0.002,task,libero_goal/put_the_bowl_on_the_stove,6,0,0.0,0.0
development_main,families@0.002,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,15,0,0.0,0.0
development_main,families@0.002,task,libero_goal/put_the_cream_cheese_in_the_bowl,10,0,0.0,0.0
development_main,families@0.002,task,libero_goal/put_the_wine_bottle_on_the_rack,3,0,0.0,0.0
development_main,families@0.002,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,2,0,0.0,0.0
development_main,families@0.002,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,4,0,0.0,0.0
development_main,families@0.002,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,6,1,0.16666666666666666,0.004347826086956522
development_main,families@0.002,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,138,78,0.5652173913043478,0.3391304347826087
development_main,families@0.002,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,6,0,0.0,0.0
development_main,families@0.002,task,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,17,0,0.0,0.0
development_main,families@0.002,task,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,43,6,0.13953488372093023,0.02608695652173913
development_main,families@0.002,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,8,0,0.0,0.0
development_main,families@0.002,task,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,3,2,0.6666666666666666,0.008695652173913044
development_main,families@0.002,task,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,11,6,0.5454545454545454,0.02608695652173913
development_main,families@0.002,task,libero_object/pick_up_the_butter_and_place_it_in_the_basket,2,1,0.5,0.004347826086956522
development_main,families@0.002,task,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,5,2,0.4,0.008695652173913044
development_main,families@0.002,task,libero_object/pick_up_the_milk_and_place_it_in_the_basket,8,6,0.75,0.02608695652173913
development_main,families@0.002,task,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,3,1,0.3333333333333333,0.004347826086956522
development_main,families@0.002,task,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,1,0,0.0,0.0
development_main,families@0.002,task,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,4,2,0.5,0.008695652173913044
development_main,families@0.002,task,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,8,3,0.375,0.013043478260869565
development_main,families@0.002,task,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,12,11,0.9166666666666666,0.04782608695652174
development_main,families@0.002,task,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,3,2,0.6666666666666666,0.008695652173913044
development_main,families@0.002,task,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,14,4,0.2857142857142857,0.017391304347826087
development_main,families@0.002,task,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,9,9,1.0,0.0391304347826087
development_main,families@0.002,task,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,9,0,0.0,0.0
development_main,families@0.002,task,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,25,12,0.48,0.05217391304347826
development_main,families@0.002,task,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,35,28,0.8,0.12173913043478261
development_main,families@0.002,task,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,11,11,1.0,0.04782608695652174
development_main,families@0.002,mean_length_within_suite,libero_goal,102,45,30.0,30.0
development_main,families@0.002,mean_length_within_suite,libero_long,222,85,52.0,52.0
development_main,families@0.002,mean_length_within_suite,libero_object,37,20,28.0,28.0
development_main,families@0.002,mean_length_within_suite,libero_spatial,126,80,22.0,22.0
development_main,families@0.002,mean_length_pooled,all,487,230,35.17391304347826,40.16342412451362
external_8b,families@0.002,suite,libero_goal,106,49,0.46226415094339623,0.1781818181818182
external_8b,families@0.002,suite,libero_long,274,106,0.38686131386861317,0.38545454545454544
external_8b,families@0.002,suite,libero_object,44,25,0.5681818181818182,0.09090909090909091
external_8b,families@0.002,suite,libero_spatial,140,95,0.6785714285714286,0.34545454545454546
external_8b,families@0.002,physical_mode,approached_target_without_observed_contact,14,7,0.5,0.025454545454545455
external_8b,families@0.002,physical_mode,goal_predicate_regressed,26,8,0.3076923076923077,0.02909090909090909
external_8b,families@0.002,physical_mode,mechanism_threshold_not_reached,1,0,0.0,0.0
external_8b,families@0.002,physical_mode,no_meaningful_target_progress,2,0,0.0,0.0
external_8b,families@0.002,physical_mode,object_moved_but_goal_unmet,89,46,0.5168539325842697,0.16727272727272727
external_8b,families@0.002,physical_mode,object_released_or_dropped_before_goal,241,122,0.5062240663900415,0.44363636363636366
external_8b,families@0.002,physical_mode,object_released_outside_goal,25,9,0.36,0.03272727272727273
external_8b,families@0.002,physical_mode,stable_grasp_not_observed,143,73,0.5104895104895105,0.26545454545454544
external_8b,families@0.002,physical_mode,timeout_while_holding_target,23,10,0.43478260869565216,0.03636363636363636
external_8b,families@0.002,task,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,51,49,0.9607843137254902,0.1781818181818182
external_8b,families@0.002,task,libero_goal/push_the_plate_to_the_front_of_the_stove,1,0,0.0,0.0
external_8b,families@0.002,task,libero_goal/put_the_bowl_on_the_plate,18,0,0.0,0.0
external_8b,families@0.002,task,libero_goal/put_the_bowl_on_the_stove,9,0,0.0,0.0
external_8b,families@0.002,task,libero_goal/put_the_bowl_on_top_of_the_cabinet,16,0,0.0,0.0
external_8b,families@0.002,task,libero_goal/put_the_cream_cheese_in_the_bowl,9,0,0.0,0.0
external_8b,families@0.002,task,libero_goal/put_the_wine_bottle_on_the_rack,1,0,0.0,0.0
external_8b,families@0.002,task,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,1,0,0.0,0.0
external_8b,families@0.002,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,0,0.0,0.0
external_8b,families@0.002,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,0,0.0,0.0
external_8b,families@0.002,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,1,1.0,0.0036363636363636364
external_8b,families@0.002,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,151,93,0.6158940397350994,0.3381818181818182
external_8b,families@0.002,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,30,4,0.13333333333333333,0.014545454545454545
external_8b,families@0.002,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,10,1,0.1,0.0036363636363636364
external_8b,families@0.002,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,4,1,0.25,0.0036363636363636364
external_8b,families@0.002,task,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,20,0,0.0,0.0
external_8b,families@0.002,task,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,47,6,0.1276595744680851,0.02181818181818182
external_8b,families@0.002,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,6,0,0.0,0.0
external_8b,families@0.002,task,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,3,1,0.3333333333333333,0.0036363636363636364
external_8b,families@0.002,task,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,10,5,0.5,0.01818181818181818
external_8b,families@0.002,task,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,7,1,0.14285714285714285,0.0036363636363636364
external_8b,families@0.002,task,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,1,1,1.0,0.0036363636363636364
external_8b,families@0.002,task,libero_object/pick_up_the_milk_and_place_it_in_the_basket,7,7,1.0,0.025454545454545455
external_8b,families@0.002,task,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,5,4,0.8,0.014545454545454545
external_8b,families@0.002,task,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,4,3,0.75,0.01090909090909091
external_8b,families@0.002,task,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,7,3,0.42857142857142855,0.01090909090909091
external_8b,families@0.002,task,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,1,0,0.0,0.0
external_8b,families@0.002,task,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,3,2,0.6666666666666666,0.007272727272727273
external_8b,families@0.002,task,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,14,13,0.9285714285714286,0.04727272727272727
external_8b,families@0.002,task,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,3,2,0.6666666666666666,0.007272727272727273
external_8b,families@0.002,task,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,24,11,0.4583333333333333,0.04
external_8b,families@0.002,task,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,8,5,0.625,0.01818181818181818
external_8b,families@0.002,task,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,13,0,0.0,0.0
external_8b,families@0.002,task,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,12,5,0.4166666666666667,0.01818181818181818
external_8b,families@0.002,task,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,41,37,0.9024390243902439,0.13454545454545455
external_8b,families@0.002,task,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,21,20,0.9523809523809523,0.07272727272727272
external_8b,families@0.002,mean_length_within_suite,libero_goal,106,49,30.0,30.0
external_8b,families@0.002,mean_length_within_suite,libero_long,274,106,52.0,52.0
external_8b,families@0.002,mean_length_within_suite,libero_object,44,25,28.0,28.0
external_8b,families@0.002,mean_length_within_suite,libero_spatial,140,95,22.0,22.0
external_8b,families@0.002,mean_length_pooled,all,564,275,35.53454545454545,41.411764705882355
development_main,families@0.005,suite,libero_goal,102,28,0.27450980392156865,0.2222222222222222
development_main,families@0.005,suite,libero_long,222,28,0.12612612612612611,0.2222222222222222
development_main,families@0.005,suite,libero_object,37,2,0.05405405405405406,0.015873015873015872
development_main,families@0.005,suite,libero_spatial,126,68,0.5396825396825397,0.5396825396825397
development_main,families@0.005,physical_mode,approached_target_without_observed_contact,14,2,0.14285714285714285,0.015873015873015872
development_main,families@0.005,physical_mode,goal_predicate_regressed,28,2,0.07142857142857142,0.015873015873015872
development_main,families@0.005,physical_mode,mechanism_threshold_not_reached,6,1,0.16666666666666666,0.007936507936507936
development_main,families@0.005,physical_mode,no_meaningful_target_progress,1,0,0.0,0.0
development_main,families@0.005,physical_mode,object_moved_but_goal_unmet,72,23,0.3194444444444444,0.18253968253968253
development_main,families@0.005,physical_mode,object_released_or_dropped_before_goal,218,69,0.3165137614678899,0.5476190476190477
development_main,families@0.005,physical_mode,object_released_outside_goal,18,3,0.16666666666666666,0.023809523809523808
